id,age,salary,years_experience,credit_score,monthly_expense,savings,loan_amount,transactions,rating
2455,36,25846,8,433,36822,40724,744108,142,7
2456,51,119180,10,763,18917,484958,507234,47,4
2457,31,34924,16,490,36887,49576,60739,95,8
2458,21,28882,15,462,19907,423533,787161,211,6
2459,65,95274,3,755,21841,11159,617699,140,5
2460,69,101555,9,360,37357,91027,437187,263,8
2461,63,16095,14,304,39187,459958,96446,142,6
2462,44,119205,18,336,9092,429806,532193,142,1
2463,46,55983,2,759,36708,157481,314316,179,1
2464,64,29123,4,516,22120,486963,730101,243,6
2465,45,108668,10,438,21271,384539,250535,142,8
2466,52,81615,4,398,7357,21705,443688,100,9
2467,25,110193,6,563,27563,246341,596156,108,4
2468,33,60278,5,523,3345,255755,560320,293,7
2469,59,112911,12,310,11978,473866,971264,196,9
2470,53,105290,1,626,15616,60201,259080,272,8
2471,47,66999,18,649,11223,188057,111178,243,8
2472,35,46153,10,678,34737,328042,750415,224,1
2473,19,33344,19,530,11422,351313,707420,112,6
2474,66,114777,4,440,10602,479283,805859,288,9
2475,30,52656,8,348,12497,431595,919694,158,8
2476,21,85515,5,750,25597,248606,726842,148,2
2477,43,16212,16,790,5092,360347,784870,186,5
2478,42,24001,18,504,4591,210082,387265,29,4
2479,47,93784,7,708,37270,304046,862729,235,8
2480,28,113723,6,706,10853,441851,675248,27,9
2481,24,96144,4,350,27805,122106,908426,251,3
2482,48,51427,14,474,21476,135791,816157,21,9
2483,61,46368,9,560,9061,111530,238357,92,1
2484,27,85819,15,779,18161,388610,614322,172,7
2485,56,76160,8,522,3673,220086,652329,114,8
2486,30,40854,6,568,27664,308847,568547,98,6
2487,48,25715,10,617,30224,19449,204572,255,4
2488,24,96701,8,684,32530,87300,591788,22,4
2489,66,73784,16,518,15354,49429,62943,42,7
2490,59,114644,8,353,8002,131546,647584,121,6
2491,59,41797,2,499,9308,176011,556966,211,4
2492,53,62573,7,638,35267,127850,814280,190,5
2493,37,91120,18,604,15590,14301,918848,136,4
2494,21,29780,19,544,35093,356208,687825,284,1
2495,24,52905,15,507,15729,185969,625329,53,4
2496,18,36573,6,810,31224,375503,223599,129,6
2497,61,48359,6,558,2887,327483,829999,79,2
2498,62,81062,19,679,38441,50089,770852,223,7
2499,59,88391,12,462,13232,287713,502477,209,9
2500,64,58463,2,640,35696,138472,630613,213,2
2501,30,114596,11,829,6403,108738,173984,24,7
2502,39,110018,7,333,16992,339563,939909,190,2
2503,38,31571,12,622,9990,27543,97114,184,9
2504,39,112276,19,480,19008,281932,814405,214,1
2505,45,34142,15,646,33010,115943,545590,93,4
2506,26,40104,6,491,6344,93767,223147,108,2
2507,43,23625,3,545,23083,358649,571185,204,1
2508,26,54199,11,544,26634,498997,823605,276,2
2509,32,30926,16,432,7116,420628,758462,34,6
2510,27,46218,0,496,26011,434519,767336,271,5
2511,41,59472,16,646,6610,334820,772623,245,1
2512,59,106916,1,348,39265,416758,973439,127,3
2513,25,35566,5,363,5852,230554,421166,260,6
2514,41,71125,11,403,33686,57764,823992,142,5
2515,33,48205,10,512,21788,451307,855681,193,6
2516,66,44717,10,816,37536,121210,159396,50,8
2517,43,64984,17,418,21039,54335,238172,239,6
2518,44,40135,7,541,36908,367685,634134,235,5
2519,54,43164,6,579,9724,481076,601812,50,4
2520,21,89489,13,723,11997,143730,158348,93,5
2521,67,53562,15,662,12695,361475,124530,248,9
2522,41,84110,11,605,5589,441305,201024,242,6
2523,36,35169,8,785,3398,93856,536028,97,5
2524,53,74858,19,613,9691,146482,409903,100,8
2525,56,36604,15,812,12943,304424,377350,227,5
2526,27,104670,18,466,15926,365078,29598,155,5
2527,42,103738,15,693,14113,89823,380862,30,8
2528,35,15684,8,362,32134,28881,189356,160,9
2529,36,117537,12,571,5266,450141,621623,211,8
2530,53,23007,4,336,8408,359147,350399,278,9
2531,27,115632,18,315,16842,342221,202773,213,9
2532,50,56787,9,642,13136,203529,699198,69,8
2533,67,64582,6,645,5497,455384,376911,149,7
2534,22,89791,8,838,23340,394547,341275,256,7
2535,64,112798,13,532,36742,101021,850347,56,1
2536,66,98629,14,715,33408,389567,73830,230,7
2537,52,20782,12,566,31794,165156,385752,159,6
2538,61,81770,9,625,11245,89164,389261,95,1
2539,51,72645,13,742,26126,212191,474097,239,8
2540,50,118509,11,375,4534,332231,589396,171,9
2541,38,114724,18,546,37985,170938,35218,216,2
2542,34,46996,5,612,20719,61252,336827,246,4
2543,39,44204,11,642,25713,364365,486988,146,7
2544,65,32152,12,481,20541,8792,242433,285,1
2545,54,70186,7,698,16176,423108,414514,124,8
2546,32,105555,15,540,21075,158010,25315,189,9
2547,52,100024,1,591,21726,238715,454817,268,8
2548,45,117659,6,353,3555,81884,238161,93,2
2549,24,34689,11,444,18659,441194,702679,189,8
2550,49,65690,6,655,32966,221455,691677,71,8
2551,28,109042,18,776,27923,436908,33330,144,2
2552,27,98251,13,321,5089,336254,21394,128,9
2553,26,72320,8,630,16743,101932,362147,12,1
2554,31,79226,17,591,9578,21957,874746,213,7
2555,30,71091,10,535,36940,277255,107220,60,2
2556,42,94301,15,328,29967,163839,982738,284,8
2557,19,36942,18,459,25185,353112,161653,95,8
2558,52,53712,10,829,36594,471962,910745,72,4
2559,24,80277,17,849,23893,311130,539298,110,8
2560,38,64632,10,400,19754,2209,673086,282,5
2561,35,53031,3,589,7322,279697,706407,112,9
2562,20,35478,17,676,23512,391946,455043,159,1
2563,59,37551,18,472,7811,240135,137300,211,5
2564,56,63068,12,642,36459,490909,817666,251,9
2565,58,108608,3,490,28726,425952,380932,113,6
2566,66,50561,9,738,12836,87316,346346,5,4
2567,28,17892,4,642,38158,16023,753052,141,1
2568,56,114502,2,424,11862,282963,786806,243,6
2569,41,39395,15,659,34804,461629,887058,119,7
2570,63,33756,7,802,20011,414652,206194,128,7
2571,36,102710,6,472,37107,233411,684944,84,9
2572,21,49651,18,693,24544,200856,356129,244,4
2573,43,81333,13,760,16425,316169,353811,113,4
2574,55,88745,14,419,36139,339063,811931,164,5
2575,59,64306,16,572,35444,402930,140104,115,9
2576,49,36346,0,657,7072,299464,30089,104,2
2577,56,43024,5,685,2252,33235,735892,180,4
2578,62,109950,14,618,37632,88525,651240,289,9
2579,63,55818,11,560,12208,462458,37491,232,6
2580,53,20947,19,580,20615,475971,83971,158,6
2581,57,90153,1,628,19144,33668,145941,96,7
2582,54,101240,4,423,21670,331212,372550,231,5
2583,50,109238,8,775,25218,50973,669373,278,4
2584,53,82428,19,577,35160,168348,853515,264,3
2585,20,44754,13,392,13283,181418,962442,37,2
2586,26,78355,17,846,27006,17849,435612,99,7
2587,25,73241,7,427,35764,430009,978108,229,5
2588,50,83960,1,831,27667,389171,788796,189,1
2589,23,28418,8,466,26677,58297,408090,86,4
2590,58,110422,6,535,12891,49287,957870,65,9
2591,56,115319,17,331,16542,134609,907603,103,8
2592,21,103593,15,530,16414,164939,7821,112,7
2593,30,70184,4,490,20564,9307,791046,68,5
2594,66,19833,14,807,7316,30051,628622,137,1
2595,19,90430,4,756,14759,186938,738203,136,5
2596,22,56833,10,554,30190,421663,173482,214,8
2597,61,15565,13,578,24817,404518,288265,241,4
2598,44,55180,18,355,38776,334955,758450,85,5
2599,49,33402,2,405,9373,370911,622082,48,8
2600,38,57845,9,491,38054,212338,488395,156,5
2601,25,90851,5,577,12873,478826,439244,101,4
2602,55,27834,2,843,39285,231810,531046,81,4
2603,25,82850,1,474,21012,68438,154923,128,6
2604,67,52180,12,384,18922,36791,384053,159,1
2605,20,18883,17,515,15994,14739,195745,237,4
2606,61,90587,1,313,20164,384889,64960,59,1
2607,20,26695,14,336,8605,237189,77541,237,6
2608,39,38123,4,326,13718,487103,306008,289,8
2609,23,73481,14,369,37116,344365,821458,95,4
2610,19,88438,16,453,18145,187286,618264,122,8
2611,40,32573,1,737,23791,85513,463294,121,2
2612,61,109910,17,570,18120,302430,753733,36,5
2613,19,71494,14,840,25553,300851,599340,213,3
2614,55,27288,19,373,18362,365841,240707,226,7
2615,34,61978,2,448,37859,196862,497433,290,9
2616,52,87420,4,805,21946,270283,911641,61,1
2617,51,91095,10,309,39849,423183,242841,188,8
2618,40,69672,8,801,6901,389622,424397,240,4
2619,47,76821,4,361,37072,291930,171965,3,5
2620,69,98661,0,687,4485,258999,761055,6,1
2621,25,84224,13,531,35416,15828,655727,260,5
2622,39,104405,4,827,12461,8224,903003,101,9
2623,61,118673,7,849,16012,446294,431292,166,8
2624,53,69796,13,744,32131,45173,940417,164,8
2625,22,59706,15,620,11743,302774,516780,290,6
2626,30,19023,5,382,31447,294515,168916,6,9
2627,46,97636,7,733,4632,339538,354029,27,4
2628,48,51735,1,316,26287,367452,809741,39,6
2629,64,87959,18,668,29108,35594,449188,275,3
2630,33,54218,8,554,36036,384384,904833,96,2
2631,59,27213,4,755,36541,49205,846340,162,9
2632,47,116519,4,832,9020,428009,651109,89,5
2633,33,113694,18,691,38395,329465,330881,247,2
2634,29,43460,3,619,4548,373770,345984,24,5
2635,34,79680,15,519,36318,445168,746159,153,6
2636,33,46017,15,713,20524,425330,797717,243,8
2637,29,113536,15,331,7846,291009,600104,198,5
2638,25,107038,6,315,21904,137258,573592,30,2
2639,37,45990,17,708,9125,466988,447021,207,7
2640,20,34515,0,472,10812,377031,23901,221,5
2641,33,44991,2,478,7407,58704,351240,54,2
2642,47,22634,7,796,33601,171441,798652,78,6
2643,62,92034,0,403,6767,128269,308836,120,7
2644,40,91452,6,616,10362,184621,664622,281,8
2645,45,44377,6,480,24028,428210,563529,237,3
2646,68,48001,7,431,20803,69176,855758,261,4
2647,57,16391,18,454,12971,120738,236272,2,6
2648,22,80206,16,658,16520,37417,299010,80,3
2649,37,57215,10,534,26061,376080,155032,191,6
2650,57,94720,14,464,35706,96153,951331,124,9
2651,61,42114,8,726,23314,324844,969514,182,5
2652,18,26882,16,787,15672,65276,831483,124,2
2653,47,32273,10,512,25995,170477,143085,17,2
2654,38,60647,5,456,26448,36971,744881,31,7
2655,37,97665,8,374,32136,207600,251710,134,4
2656,23,79892,17,734,33088,323884,533921,223,9
2657,39,57679,19,477,5177,106539,887002,70,9
2658,35,15427,1,611,29347,401509,936136,292,6
2659,25,111952,3,426,17684,436592,315785,93,5
2660,56,81267,17,676,23735,128377,695834,73,7
2661,49,15799,0,644,7100,65314,107096,138,5
2662,50,70659,10,524,38564,418450,784652,24,9
2663,33,109409,2,316,21268,58679,565042,168,9
2664,29,22025,7,796,19656,257961,328515,258,7
2665,55,29481,4,772,15628,97284,718971,276,4
2666,69,40411,19,610,8407,285466,237967,289,1
2667,51,111894,4,436,26054,232337,523147,14,4
2668,31,29961,10,774,28532,466699,862488,55,3
2669,53,36767,11,516,31584,263987,197615,293,1
2670,50,66690,8,495,20075,312289,926462,216,4
2671,40,67870,12,500,30741,27216,885168,84,7
2672,67,51135,19,665,11449,378956,811407,161,2
2673,62,79514,2,827,23557,194761,392038,228,7
2674,19,101928,12,699,28659,449930,103425,84,6
2675,58,93798,10,824,5905,120399,557384,198,9
2676,38,85765,10,513,30930,109805,348794,200,2
2677,19,38772,19,640,12490,181988,288491,179,6
2678,44,33799,6,628,8684,371340,47486,189,6
2679,26,38555,16,418,36872,306443,67148,156,6
2680,18,107152,15,724,11376,65723,880717,228,3
2681,28,34333,13,672,35204,127607,422219,172,6
2682,20,19261,0,478,22709,383407,293026,211,9
2683,69,84002,10,731,15118,8403,708757,57,3
2684,40,61553,12,701,31888,22013,526292,154,2
2685,43,18088,0,693,31291,190508,465455,25,8
2686,21,60783,1,378,28975,2604,105073,271,3
2687,35,16115,8,723,30289,43229,677368,202,5
2688,23,85114,12,417,29588,407078,186943,98,5
2689,52,83126,4,667,37443,111828,871362,77,2
2690,39,87908,8,405,37108,12594,725141,111,2
2691,60,84109,12,404,27985,335186,796232,123,6
2692,32,17978,4,602,38584,493050,838702,54,2
2693,39,24422,14,447,37049,331470,704295,206,6
2694,54,58626,6,449,7822,191928,98665,167,7
2695,69,104233,13,555,27112,444620,231797,276,4
2696,59,71174,15,381,27978,168781,572162,89,4
2697,29,111356,5,315,18037,252388,299102,11,3
2698,64,52743,1,492,10996,341094,957540,52,1
2699,66,85461,15,373,16324,157305,298373,213,4
2700,59,72199,18,576,13473,50009,216973,54,3
2701,55,44430,4,360,25066,240432,210514,247,8
2702,35,43834,3,835,27427,284761,539577,69,5
2703,62,39435,13,834,10067,384218,796753,7,7
2704,52,102212,5,642,7341,192016,360441,140,3
2705,47,70797,7,694,23427,465544,152184,224,3
2706,41,58554,2,557,17158,426939,474083,69,6
2707,59,69555,3,497,28440,216478,797084,204,4
2708,47,100350,0,352,17627,311609,411650,121,8
2709,31,29716,1,570,25202,44415,782348,292,3
2710,23,75261,12,500,16341,343604,86179,277,5
2711,20,42528,8,695,4094,347907,266856,254,1
2712,33,16995,11,677,21314,107093,9560,147,1
2713,24,37414,9,834,26829,92842,630619,3,8
2714,69,28844,9,387,5520,242379,577701,188,7
2715,31,51659,17,697,34136,160690,339018,100,1
2716,26,30522,11,481,20991,20622,350267,157,6
2717,32,89034,15,582,7110,319996,55016,202,2
2718,38,57322,5,832,36475,39052,547197,185,1
2719,52,82638,9,489,20677,69225,293960,40,5
2720,19,116334,14,504,37252,409115,736021,203,5
2721,44,23524,8,343,34583,233708,877204,147,2
2722,19,45846,1,599,12715,139026,414842,242,5
2723,52,88643,17,578,21839,368711,545234,179,7
2724,35,75096,11,684,35645,223564,924960,49,4
2725,31,98804,2,610,10738,163161,320003,180,2
2726,37,62703,6,827,37230,195087,850400,150,5
2727,35,39399,8,573,34559,40818,661740,239,6
2728,27,90160,7,781,39261,180920,467663,208,8
2729,42,107662,5,750,33896,88181,352427,209,9
2730,19,103667,0,831,26365,341737,570752,247,8
2731,42,63591,13,830,20599,436366,361917,7,7
2732,50,35714,15,824,24331,205478,427157,119,9
2733,53,50877,15,316,33522,346406,669407,31,9
2734,48,99106,3,329,26805,51806,299578,7,6
2735,31,93018,5,769,31374,202361,627492,235,3
2736,18,114854,14,603,19811,73672,197782,281,8
2737,63,74136,7,392,20083,252741,216736,289,3
2738,33,48414,0,461,14161,487734,725104,95,1
2739,63,101576,12,627,16403,157636,308455,38,4
2740,69,93943,17,553,8958,438721,731029,126,9
2741,20,60468,17,739,27805,312293,367079,260,8
2742,52,113841,12,843,30970,258168,302013,176,6
2743,58,94702,13,419,36591,116765,353653,101,3
2744,23,87108,10,813,12468,66657,462773,193,3
2745,42,113538,6,848,13135,53347,402105,81,7
2746,30,107508,17,396,26845,330894,132846,61,5
2747,51,61835,3,669,22155,315287,546038,129,3
2748,25,78333,16,716,31491,239401,142475,6,1
2749,38,57464,18,556,2500,453238,227951,21,9
2750,51,37923,13,427,23990,166909,494993,195,5
2751,21,76855,9,658,9939,186619,430047,28,7
2752,42,82445,5,455,23991,11076,223938,140,9
2753,32,113384,17,356,15789,209856,319419,235,4
2754,21,82619,3,375,21134,134034,989308,93,5
2755,62,61146,10,457,20537,21407,553198,137,3
2756,29,75032,12,384,39504,353663,912365,82,7
2757,49,32140,7,621,2608,357833,709120,253,1
2758,49,17670,9,608,15887,204050,723576,228,8
2759,45,51519,10,829,20047,318716,612952,235,3
2760,30,59512,2,583,5294,311063,790035,35,4
2761,48,72811,14,341,29005,216361,150800,127,4
2762,31,118565,7,433,17173,224346,210096,259,7
2763,37,29691,19,703,24406,19703,615829,128,7
2764,35,49262,17,792,29287,184463,649329,53,4
2765,46,69892,0,521,21569,369404,553888,100,6
2766,23,40595,7,528,36299,137627,333593,194,8
2767,49,72207,2,751,31750,265036,303130,240,4
2768,46,48440,0,605,38984,433391,806587,249,1
2769,60,23630,19,418,5706,208097,124321,293,7
2770,19,46250,15,623,13266,440757,825942,207,2
2771,40,109334,8,458,25643,81749,750159,101,3
2772,36,113748,16,538,22886,48542,832973,215,8
2773,48,92518,15,695,11846,447206,190643,64,2
2774,68,89191,5,619,14719,352573,762422,239,2
2775,22,79791,6,488,23388,461241,853491,124,4
2776,36,99118,15,608,21928,96289,657724,6,6
2777,51,115591,7,548,5818,158700,318897,225,2
2778,27,78753,9,837,10087,168849,365800,149,9
2779,42,75520,13,805,38211,344662,332734,57,2
2780,19,19008,10,693,24093,224084,884671,156,9
2781,28,59464,1,705,3047,199429,514829,85,7
2782,67,15496,11,480,21044,94022,593789,24,3
2783,48,114767,19,320,34115,472304,724588,115,9
2784,32,38212,19,454,9930,215264,562137,92,9
2785,26,35637,12,493,17994,359494,1773,191,6
2786,40,60227,14,523,28838,43846,969593,22,2
2787,36,97413,11,698,27339,60176,642866,34,7
2788,26,98346,12,579,12559,77594,154992,249,4
2789,52,24884,7,309,5408,337568,851610,37,4
2790,38,83259,15,675,25878,77092,253095,297,7
2791,26,64810,2,771,20068,390893,754755,221,5
2792,45,19761,12,451,35637,480350,604936,226,1
2793,63,88166,11,423,39891,51921,810935,299,3
2794,68,31375,18,723,29309,151297,661466,278,7
2795,24,40218,1,822,34391,90861,320234,21,9
2796,33,45565,0,812,27489,45084,140838,52,9
2797,33,117654,7,470,29707,494884,210574,260,7
2798,50,47975,8,424,25596,357000,889176,208,5
2799,21,42073,7,474,25111,465115,52753,7,4
2800,21,84726,16,803,18926,344980,682035,169,9
2801,56,16883,8,684,36971,133189,560572,138,6
2802,57,83422,5,405,21319,492047,405213,190,2
2803,34,64629,14,827,19135,8447,838436,140,3
2804,54,79170,12,337,36879,192579,868943,156,7
2805,56,89489,11,694,9276,411412,197300,58,4
2806,69,23381,12,776,28062,492557,443531,184,7
2807,46,38238,6,766,16586,265604,667344,254,5
2808,69,28795,17,804,23345,316634,549272,146,1
2809,53,110964,13,614,20941,383315,985422,185,3
2810,55,77999,10,584,3571,375734,349464,178,9
2811,56,64907,13,763,11949,414319,336276,127,4
2812,67,24638,16,563,39542,188455,653433,45,5
2813,54,85467,1,728,14561,468798,612183,190,2
2814,69,57623,18,664,34827,176978,742022,193,8
2815,52,53492,15,480,31013,208048,524276,55,1
2816,24,41411,9,543,27993,494874,378315,294,4
2817,44,35534,7,612,24595,201650,64176,260,6
2818,45,117364,4,375,19722,453357,447526,15,8
2819,39,44181,6,561,27042,312470,927818,149,4
2820,31,118069,12,530,9001,387736,615264,149,2
2821,24,34996,15,679,28886,126899,853552,251,4
2822,54,87089,4,608,9948,438239,499928,254,1
2823,39,98609,15,687,33874,344009,859381,214,8
2824,22,87666,14,624,20855,384572,279270,108,9
2825,19,44405,8,755,27295,296605,405246,35,3
2826,44,116490,11,811,27811,206347,978122,260,8
2827,38,86325,7,642,31225,6976,389775,227,9
2828,55,43930,12,815,22723,493642,664415,220,8
2829,32,32529,4,741,9879,53449,544654,140,2
2830,38,68546,13,848,11549,250746,494375,54,2
2831,27,22942,15,561,29338,398584,872398,286,4
2832,40,22548,10,762,20169,397239,554502,265,1
2833,56,33296,19,526,36730,468727,822884,275,3
2834,22,66016,11,822,17136,354465,307495,110,4
2835,18,112780,14,488,7965,108435,130885,45,2
2836,30,15296,11,508,4678,325035,881891,279,7
2837,38,82945,8,312,24489,310808,895078,261,3
2838,43,74980,0,461,21507,444896,491493,212,7
2839,67,71782,2,792,37911,181317,476251,195,7
2840,62,49229,11,734,37568,141594,592661,119,9
2841,38,111382,19,304,34081,305865,396644,194,4
2842,35,68444,12,501,24586,433644,875396,43,4
2843,54,50036,5,715,36562,146248,657553,258,1
2844,62,54322,9,311,4342,350113,19722,176,6
2845,49,42167,9,696,12167,216213,395382,296,6
2846,53,66667,15,640,36075,20126,50678,99,7
2847,34,109527,0,672,3455,264240,712967,196,9
2848,52,98337,15,677,28293,91111,435475,117,9
2849,66,66468,3,524,4539,424056,753354,164,5
2850,28,87894,5,481,38386,317299,212026,296,2
2851,38,68084,18,596,37146,440959,413018,125,1
2852,69,78138,1,606,27450,412703,60380,289,2
2853,43,37588,17,730,20589,380574,543384,147,2
2854,21,77901,9,417,14719,71265,260281,171,1
2855,51,32671,3,651,35907,257243,64626,201,8
2856,69,98038,0,345,5591,474981,705298,61,3
2857,65,105664,14,526,23098,234675,365436,141,8
2858,35,46645,9,655,6714,479798,765825,170,6
2859,57,22637,17,593,28121,369655,174441,225,1
2860,52,15660,15,539,29419,181349,830438,234,7
2861,58,21922,12,647,31603,327230,311531,274,3
2862,46,108697,14,440,6667,32185,767417,221,9
2863,69,59721,1,503,10457,442109,144961,231,9
2864,46,72256,19,568,10293,416597,904454,113,4
2865,55,84506,3,612,26238,49555,672818,249,2
2866,59,83943,0,717,25542,186898,110942,48,9
2867,38,42843,6,436,22357,463926,340384,84,5
2868,59,24046,10,650,28110,274908,207690,164,8
2869,30,104336,9,460,37037,321276,951015,87,9
2870,66,78985,0,472,20867,153954,225127,173,1
2871,58,95083,10,429,19597,171247,345069,145,3
2872,34,118064,9,378,13184,167192,8204,250,7
2873,26,111925,13,356,22813,371151,458121,33,2
2874,58,45346,13,699,27482,401099,187248,148,4
2875,18,103284,6,662,28157,332900,476986,194,4
2876,19,117391,10,634,17660,259665,873253,126,7
2877,65,106384,3,433,16686,251597,691731,129,2
2878,46,68526,1,313,35337,29293,297172,163,8
2879,50,88143,6,582,26479,25656,651533,129,8
2880,27,51787,18,720,36313,43604,844759,171,6
2881,67,48583,13,426,2908,459926,752679,75,4
2882,57,27563,18,517,39230,386699,269958,256,2
2883,38,61060,6,788,6083,245860,815877,216,3
2884,45,48690,11,559,5340,304451,321447,231,3
2885,28,109712,2,517,33829,273248,862388,237,3
2886,51,29925,14,788,9039,26966,861922,96,4
2887,25,101787,4,742,13410,51710,443656,183,7
2888,39,98184,7,398,9155,18822,336888,121,9
2889,25,35108,13,481,27589,397141,870505,195,4
2890,66,91515,3,468,39677,466738,539456,250,7
2891,32,83258,6,532,10397,359973,102886,111,6
2892,34,20355,6,392,14237,5819,709011,72,9
2893,40,61069,17,771,36819,399587,364933,52,8
2894,41,109335,13,815,2002,202311,295519,155,2
2895,62,115854,7,384,2324,12984,757708,195,3
2896,36,69471,11,818,18988,220704,98086,26,6
2897,22,47705,9,680,23275,351441,498663,227,5
2898,49,58909,13,706,34061,214349,290938,209,2
2899,61,103606,8,531,37890,217389,2836,221,2
2900,18,68739,5,550,26360,141352,192548,286,5
2901,40,91820,4,384,17829,394508,931595,253,5
2902,54,102273,0,618,21498,334123,778949,102,1
2903,25,38241,0,492,13467,141254,951038,265,3
2904,30,42414,19,599,2346,45362,274934,176,9
2905,25,65818,16,657,15369,265720,224148,184,3
2906,40,35895,10,752,15997,367726,571988,193,6
2907,60,107307,11,805,38211,1819,507995,195,6
2908,18,77409,2,364,26686,438666,983139,21,2
2909,62,70324,5,521,34790,87145,240592,286,7
2910,68,81920,10,765,22200,457615,516781,57,9
2911,41,68555,12,371,12155,184844,171462,55,9
2912,52,80453,10,773,15074,156385,706262,2,8
2913,41,37689,7,318,20091,73248,585580,22,5
2914,34,79356,9,821,8715,127308,937557,141,8
2915,22,108011,1,714,22199,146929,33161,89,9
2916,37,23252,13,663,27322,28083,287313,299,1
2917,38,45844,15,827,2514,218680,355137,75,1
2918,57,110687,16,379,5039,290709,598901,74,5
2919,48,38365,10,489,7861,377409,991179,236,7
2920,63,21026,1,447,20725,245612,527340,165,9
2921,53,113303,4,742,38130,6751,434680,217,9
2922,28,43523,15,564,38258,292429,218228,291,3
2923,69,25482,15,808,32691,334294,183974,19,1
2924,32,63888,1,600,26532,300546,788209,284,3
2925,36,65110,15,765,39935,349420,613141,188,8
2926,24,105644,4,664,5178,348708,981482,138,7
2927,68,15493,7,698,25815,397423,667989,280,5
2928,45,71194,19,792,21708,377734,781737,202,9
2929,68,97001,13,841,28138,3656,489941,158,4
2930,60,54767,9,779,19928,387708,761989,233,6
2931,22,44550,1,467,24235,411850,461677,115,5
2932,22,28833,2,390,27101,305916,974003,225,6
2933,47,17970,17,599,31590,27418,924324,45,4
2934,49,113315,1,473,23017,473910,798931,217,3
2935,25,110494,8,672,11941,115915,65029,118,5
2936,27,97681,1,323,27416,103202,721480,281,5
2937,55,116489,6,500,20649,474848,779676,102,2
2938,64,64177,6,306,10904,224489,336228,132,4
2939,49,82342,13,305,27336,96645,735684,212,3
2940,65,86200,4,460,7260,216865,892338,202,7
2941,45,76501,7,547,15657,372931,693324,287,5
2942,34,43900,17,465,38959,33720,732442,147,6
2943,48,29126,5,727,31079,387283,927446,258,7
2944,25,85690,13,444,13381,301051,247460,260,2
2945,57,102744,17,810,18056,335247,75437,294,4
2946,42,94303,16,842,23283,236932,3681,33,6
2947,26,100579,8,808,3467,397676,401944,18,3
2948,19,62994,12,519,23236,355648,706980,160,6
2949,32,82061,15,375,8101,192113,368790,115,1
2950,67,114064,9,618,9547,298426,796379,208,8
2951,20,31978,9,337,4760,431268,477686,161,5
2952,66,71344,3,813,14648,424528,114251,290,1
2953,53,61648,11,545,36161,487767,213879,47,1
2954,21,16055,7,439,38461,399720,568243,52,3
2955,31,90582,14,557,23762,220054,889574,52,6
2956,58,116387,18,680,20083,86089,84482,171,2
2957,58,96214,14,777,19504,130976,222792,106,8
2958,42,59876,7,484,15065,384245,204398,98,7
2959,67,107160,7,602,19112,280192,571726,209,2
2960,27,53725,18,793,13696,88257,170567,131,1
2961,38,20255,8,463,18999,458999,169371,222,7
2962,53,89947,16,502,35138,376497,834814,223,7
2963,29,68380,7,707,23722,375251,533721,127,3
2964,44,68333,11,509,32199,292244,52984,126,8
2965,57,57459,14,400,31432,474663,511265,130,8
2966,19,51163,3,745,11139,237115,265043,196,5
2967,30,48971,5,667,24715,3632,490048,44,7
2968,49,111771,15,538,29124,180771,942039,294,3
2969,48,80149,4,590,25403,200673,783644,188,6
2970,33,99730,12,671,4422,363337,322243,244,3
2971,49,34476,14,730,15455,178118,317046,91,9
2972,49,83580,16,579,30187,376442,720573,15,7
2973,51,101593,19,766,29122,28694,223909,182,1
2974,28,84050,4,615,11532,111814,116967,62,8
2975,27,90526,18,376,15541,18343,693889,78,9
2976,32,119496,6,450,17481,222341,697308,274,2
2977,34,22507,2,695,8760,16406,783216,251,1
2978,57,85393,12,795,22954,297919,72283,71,4
2979,35,27118,13,596,35341,63240,973131,24,9
2980,26,65529,15,706,29419,165561,663164,294,6
2981,42,83682,12,586,25119,467452,764715,134,8
2982,57,106937,1,792,4222,483654,127182,246,7
2983,31,69176,13,835,31363,212262,329329,202,5
2984,42,106713,19,755,28273,166094,428392,22,5
2985,67,119060,6,791,2787,199953,652638,161,6
2986,39,19414,4,308,30365,361552,305524,215,6
2987,69,98030,13,431,39435,297573,762980,46,5
2988,47,100973,8,376,27162,276314,162335,105,8
2989,37,77137,9,430,13357,71954,95701,170,3
2990,38,18937,6,711,29277,411691,866434,85,9
2991,61,51731,13,389,22420,159368,844304,77,5
2992,49,101862,13,797,36477,154195,87516,42,9
2993,68,53665,1,653,14167,128776,531830,13,5
2994,63,89510,16,570,17590,270104,689547,291,3
2995,66,32500,19,691,29883,180795,235071,9,9
2996,38,16750,3,731,23596,321552,679870,13,2
2997,52,80018,12,771,3510,98479,561229,22,5
2998,49,19027,17,607,32763,166411,591559,40,3
2999,47,20745,2,807,24287,36783,110632,127,7
3000,56,76731,18,354,16374,73542,194817,169,4
3001,66,101984,4,336,26551,151902,439476,263,8
3002,29,43451,0,354,25936,84349,495905,222,1
3003,58,108743,8,823,30652,344273,263292,223,5
3004,64,86474,7,762,38274,211427,696151,121,8
3005,35,76536,2,777,5633,17625,31343,222,2
3006,38,27150,1,510,28982,106390,775635,79,6
3007,30,28406,0,525,19845,125242,603370,99,7
3008,38,34781,11,306,24298,84987,566771,235,6
3009,25,72417,12,839,8352,355134,961225,186,3
3010,63,118157,9,511,36939,385663,875047,279,6
3011,57,33325,16,488,10594,229221,467654,181,7
3012,63,83684,10,374,10475,41106,615360,293,3
